,:@computed_region_6ryf_isx3,:@computed_region_d7bw_bq6x,:@computed_region_kbsp_ykn9,:@computed_region_rbt8_3x7n,:@computed_region_tx5f_5em3,address_number,agency,beat,case_number,city,date,district,end_date,geolocation,incident_id,incident_type,latitude,location,longitude,narrative,place,police_district_number,pra,sector,start_date,state,zip_code
0,,,,,,,MCPD,4L2,13033934,SILVER SPRING,2013-07-20 21:22:38,WHEATON,,,200929764,2812,,VEIRS MILL  RD,,DRIVING UNDER THE INFLUENCE,Street - Commercial,4D,171.0,L,2013-07-20T21:22:00.000,MD,20902.0
1,1.0,3065.0,7.0,1.0,5.0,7900.0,MCPD,3G1,15041390,SILVER SPRING,2015-08-18 21:52:58,SILVER SPRING,2015-08-18T21:52:00.000,"{'type': 'Point', 'coordinates': [-77.026643, 38.98534]}",201038612,1834,38.98533957850639,7900  GEORGIA AVE,-77.02664329960841,CDS-POSS MARIJUANA/HASHISH,Street - Commercial,3D,90.0,G,2015-08-18T21:52:00.000,MD,20910.0
2,,,,,,,MCPD,2D3,16009862,BETHESDA,2016-02-28 00:22:01,BETHESDA,,,201067968,2942,,CENTER  DR,,MENTAL TRANSPORT,Residence - Other,2D,74.0,D,2016-02-28T00:22:00.000,MD,20814.0
3,,,,,,,GPD,6P3,13031483,GAITHERSBURG,2013-07-06 09:06:24,MONTGOMERY VILLAGE,,,200926636,1412,,OLDE TOWNE  AVE,,VANDALISM-MOTOR VEHICLE,Parking Garage - County,6D,431.0,P,2013-07-06T09:06:00.000,MD,20877.0
4,,,,,,,MCPD,4J2,13031570,SANDY SPRING,2013-07-07 00:29:28,WHEATON,,,200926708,1834,,VILLAGE CENTER  DR,,CDS-POSS MARIJUANA/HASHISH,Street - In vehicle,4D,401.0,J,2013-07-07T00:29:00.000,MD,20832.0
5,,,,,,4900.0,MCPD,,13030733,CHEVY CHASE,2013-07-01 21:58:49,OTHER,,,200926765,1012,,4900  JONES BRIDGE RD,,FORGERY/CNTRFT-CHECKS,Residence - Single Family,OTHER,,,2013-07-01T00:00:00.000,MD,20815.0
6,1.0,3065.0,7.0,1.0,5.0,8600.0,MCPD,3G1,16006876,SILVER SPRING,2016-02-10 09:57:46,SILVER SPRING,2016-02-08T20:25:00.000,"{'type': 'Point', 'coordinates': [-77.028136, 38.996081]}",201065505,0617,38.99608121046696,8600  COLESVILLE RD,-77.02813565002432,LARCENY FROM BUILDING OVER $200,Theater,3D,108.0,G,2016-02-08T19:45:00.000,MD,
7,1.0,35.0,36.0,21.0,3.0,1.0,MCPD,6R1,16009562,GAITHERSBURG,2016-02-26 08:58:15,MONTGOMERY VILLAGE,2016-02-20T23:59:00.000,"{'type': 'Point', 'coordinates': [-77.211979, 39.152629]}",201067768,1011,39.15262855338819,1   MONTGOMERY VILLAGE AVE,-77.21197909196466,FORGERY/CNTRFT-CRDT CARDS,Bank - ATM,6D,426.0,R,2016-02-19T00:01:00.000,MD,
8,,,,,,,MCPD,3H1,13031453,TAKOMA PARK,2013-07-06 01:08:21,SILVER SPRING,,,200926969,2812,,PINEY BRANCH  RD,,DRIVING UNDER THE INFLUENCE,Street - In vehicle,3D,126.0,H,2013-07-06T01:08:00.000,MD,20901.0
9,1.0,51.0,36.0,1.0,3.0,2500.0,MCPD,6P3,16034088,DERWOOD,2016-07-05 21:03:48,MONTGOMERY VILLAGE,,"{'type': 'Point', 'coordinates': [-77.154505, 39.136882]}",201087934,1861,39.13688169582074,2500  E200 X3 TO X8 HWY,-77.1545050929911,CDS IMPLEMNT-OPIUM&DERIVATIVE,Street - Other,6D,551.0,P,2016-07-05T21:03:00.000,MD,
